pC,pA,pB,Q_stochastic,Q_input_state,Percentage Difference
0.1,0.8,0.30000000000000004,70596.66771331198,70157.47429712737,0.6221163553613435
0.1,0.8,0.4,72572.33752461812,71980.56553819466,0.8154236264233955
0.1,0.8,0.5,73390.71481670733,73322.47029983641,0.09298794410350651
0.1,0.8,0.6000000000000001,74075.31955608282,74183.18858205264,-0.14562073659115493
0.1,0.8,0.7000000000000001,74575.81881223248,74562.72038484334,0.017563906904081772
0.1,0.8,0.8,74257.68338461731,74461.06570820852,-0.2738872454959246
0.1,0.8,0.9,74083.59279284415,73878.22455214817,0.27721150251209464
0.1,0.8,1.0,72985.2222323505,72814.19691666229,0.23432869073652485
0.1,0.9,0.0,60778.19908641167,60792.29349693522,-0.023189911408061255
0.1,0.9,0.1,64043.35728028804,64692.61109696019,-1.0137723008971362
0.1,0.9,0.2,67748.47238262129,67945.54506231597,-0.29088874296926065
0.1,0.9,0.30000000000000004,70400.60429953941,70551.0953930026,-0.2137639228533955
0.1,0.9,0.4,71795.49649875727,72509.26208902008,-0.994164850263495
0.1,0.9,0.5,73794.3108099518,73820.04515036843,-0.03487306830862199
0.1,0.9,0.6000000000000001,75050.25990213983,74483.4445770476,0.7552476511491364
0.1,0.9,0.7000000000000001,74286.66545542526,74499.46036905763,-0.286451023649807
0.1,0.9,0.8,74390.44772619274,73868.09252639848,0.7021804758009752
0.1,0.9,0.9,72362.55631385226,72589.34104907021,-0.3134006684815519
0.1,0.9,1.0,70566.43288369452,70663.20593707277,-0.13713751627171455
0.1,1.0,0.0,59168.27699235106,59420.44299173182,-0.4261844559262071
0.1,1.0,0.1,64278.617175594925,64056.31961495765,0.34583438537579414
0.1,1.0,0.2,67010.89812016436,67845.40021616801,-1.2453229540472874
0.1,1.0,0.30000000000000004,71541.85406947878,70787.68479536293,1.0541651232346125
0.1,1.0,0.4,73905.24561334692,72883.17335254239,1.3829495488747168
0.1,1.0,0.5,73495.61854492268,74131.8658877064,-0.8656942486916168
0.1,1.0,0.6000000000000001,74242.81963776857,74533.76240085496,-0.39188000200680195
0.1,1.0,0.7000000000000001,73585.29533186724,74088.86289198804,-0.6843317783121382
0.1,1.0,0.8,72803.25445107867,72797.16736110569,0.0083610135547832
0.1,1.0,0.9,70481.825410214,70658.67580820786,-0.2509163134816107
